id,title,amount,category,date,description,predicted_category,confidence_score,is_user_corrected,source
kaggle_39,Magazine degree husband around.,1944.06,Transport,2020-02-29,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_40,World enter.,1742.33,Utilities,2020-03-03,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_41,Institution whatever yet.,314.15,Entertainment,2020-03-04,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_42,Choice father why often.,1201.9,Food,2020-03-04,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_43,Security arm.,1858.91,Utilities,2020-03-09,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_44,Me system church whether.,486.51,Transport,2020-03-09,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_45,Attention attack technology.,180.45,Utilities,2020-03-11,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_46,Walk now often.,1956.19,Utilities,2020-03-11,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_47,Bank price north first end.,265.5,Utilities,2020-03-12,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_48,Enter capital population.,537.46,Utilities,2020-03-12,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_49,Upon very act perform.,1929.08,Shopping,2020-03-14,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_50,Available defense.,1428.77,Entertainment,2020-03-15,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_51,Value thing these.,881.82,Other,2020-03-18,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_52,Citizen street region.,503.33,Utilities,2020-03-21,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_54,Enough threat score.,151.28,Food,2020-03-23,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_55,Example decision garden.,144.13,Entertainment,2020-03-24,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_57,Analysis four capital.,1341.27,Transport,2020-04-01,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_58,Scientist necessary into.,1449.47,Utilities,2020-04-05,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_59,Away third.,493.56,Other,2020-04-06,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_60,Along hard need involve among.,388.92,Shopping,2020-04-06,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_62,Government nice.,1729.04,Other,2020-04-17,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_64,Agent say forward us.,1603.18,Other,2020-04-18,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_66,Develop staff least figure.,849.54,Utilities,2020-04-23,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_67,Age cover foreign.,1750.23,Entertainment,2020-04-25,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_69,Voice boy wife condition.,1938.3,Food,2020-04-26,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_70,Board its.,340.96,Entertainment,2020-04-27,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_71,Paper memory history office.,1730.65,Entertainment,2020-04-27,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_72,Remember ability.,764.16,Utilities,2020-04-29,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_73,Hair attorney professional.,1853.77,Transport,2020-04-30,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_74,Finish summer rest feel finally.,851.78,Transport,2020-05-01,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_75,I fast camera inside.,318.05,Other,2020-05-03,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_76,Past feeling nature.,1162.57,Food,2020-05-03,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_77,Expert involve oil.,123.76,Other,2020-05-05,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_78,Kid put memory soldier.,123.19,Utilities,2020-05-06,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_79,Exist professional.,146.36,Utilities,2020-05-06,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_82,Sure authority increase picture create.,1318.17,Shopping,2020-05-12,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_83,Hundred challenge reach throughout.,1870.07,Other,2020-05-13,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_84,Despite sound receive let.,484.99,Other,2020-05-14,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_85,True building card.,919.88,Transport,2020-05-15,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_86,Write other wear through partner.,28.54,Utilities,2020-05-16,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_87,Store natural today season.,155.79,Utilities,2020-05-17,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_88,Else easy point she.,273.59,Transport,2020-05-19,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_89,Phone ever back experience.,1759.75,Utilities,2020-05-20,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_90,Floor music catch discuss.,881.99,Utilities,2020-05-21,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_91,Ask imagine my.,1227.24,Transport,2020-05-25,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_92,Deal information.,1339.05,Food,2020-05-27,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_93,Task she.,1878.47,Utilities,2020-05-28,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_95,Section national owner determine detail.,551.97,Utilities,2020-05-30,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_96,Ahead from quickly identify.,415.16,Other,2020-05-31,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_97,Try wonder move trade.,1015.76,Transport,2020-05-31,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_98,Base investment.,193.67,Food,2020-06-01,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_99,Anyone here deep.,97.73,Transport,2020-06-02,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_100,Seven here sell story.,1277.86,Utilities,2020-06-05,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_101,Like see.,1107.84,Other,2020-06-06,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_102,Difference attention whatever american.,232.63,Food,2020-06-07,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_103,Current after charge.,1095.72,Utilities,2020-06-08,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_104,Prove nor design record.,865.28,Utilities,2020-06-09,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_106,Blue agent find.,1367.31,Entertainment,2020-06-10,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_107,Walk cup option store.,1562.43,Other,2020-06-10,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_108,Recent feeling.,1947.94,Shopping,2020-06-11,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_109,Site girl into have media.,1730.57,Entertainment,2020-06-11,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_110,Support state.,1764.02,Utilities,2020-06-12,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_112,Safe whole establish.,540.94,Entertainment,2020-06-15,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_113,Let stay or focus.,771.26,Utilities,2020-06-18,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_116,Something future they red.,453.62,Entertainment,2020-06-19,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_117,Act way beat result major.,663.24,Shopping,2020-06-19,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_118,Position make society behavior.,708.78,Transport,2020-06-21,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_119,Reality fill ok list.,1879.08,Other,2020-06-21,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_121,Edge building court.,86.13,Transport,2020-06-22,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_122,Week real course school everybody.,1459.8,Other,2020-06-24,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_123,Executive beyond create dinner conference.,776.54,Utilities,2020-06-30,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_124,Call animal approach factor want.,98.33,Transport,2020-06-30,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_125,Their off.,734.8,Entertainment,2020-07-02,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_127,State husband.,1442.31,Utilities,2020-07-04,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_128,Picture approach chance none fight.,1337.12,Transport,2020-07-05,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_129,Newspaper indicate other.,1113.28,Transport,2020-07-06,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_131,Art whether between several personal.,818.09,Transport,2020-07-08,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_132,Church community.,580.96,Transport,2020-07-11,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_133,Able late order.,935.33,Other,2020-07-12,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_134,Discuss religious.,1027.24,Entertainment,2020-07-12,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_135,Reach under.,1321.11,Utilities,2020-07-13,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_136,Boy different chance enter.,195.84,Other,2020-07-17,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_137,Arrive society.,1348.86,Entertainment,2020-07-20,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_138,Keep light fight.,303.23,Entertainment,2020-07-21,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_140,Same page ago director.,1439.51,Entertainment,2020-07-22,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_141,Week yourself public especially american.,495.53,Shopping,2020-07-22,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_142,Million kind everything young.,1786.39,Food,2020-07-22,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_143,Why like impact fly.,1559.06,Utilities,2020-07-23,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_144,Form really explain.,109.93,Other,2020-07-24,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_145,Already because education break significant.,918.36,Utilities,2020-07-28,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_146,Price my.,1900.58,Other,2020-07-28,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_147,Could gun.,1662.83,Shopping,2020-07-29,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_148,Kind appear environment capital explain.,1489.87,Utilities,2020-07-30,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_149,Ahead picture son.,1506.04,Transport,2020-07-31,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_150,Nearly need behavior.,1533.97,Transport,2020-08-01,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_151,Water positive child usually.,556.45,Entertainment,2020-08-01,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_153,Course out second carry.,1787.12,Other,2020-08-02,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_155,Star executive fear.,1415.77,Utilities,2020-08-04,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_157,Help usually thank wonder draw.,133.91,Shopping,2020-08-04,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_158,Task improve fish.,1810.63,Shopping,2020-08-05,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_159,History professional star wonder.,1714.9,Food,2020-08-05,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_160,Call whole.,959.19,Shopping,2020-08-06,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_161,Them key.,1509.42,Transport,2020-08-08,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_162,Address century that wide.,1081.06,Shopping,2020-08-08,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_163,Sit enter perhaps however.,981.58,Entertainment,2020-08-09,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_164,System teacher here first.,67.76,Other,2020-08-13,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_165,Along attention piece tv young.,1451.12,Shopping,2020-08-14,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_166,Within set region beyond.,1961.64,Utilities,2020-08-16,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_167,Tough animal someone.,1187.87,Shopping,2020-08-17,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_168,Hear certainly most not.,1289.07,Utilities,2020-08-18,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_171,Together let.,681.63,Other,2020-08-21,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_172,Citizen kid generation onto police.,1506.5,Transport,2020-08-21,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_173,Lead few yourself.,1671.47,Transport,2020-08-22,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_174,Down occur.,1999.82,Food,2020-08-22,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_175,Yeah far within.,1564.65,Utilities,2020-08-26,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_176,Account ten sing.,1899.73,Food,2020-08-27,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_178,Pm per question.,1342.22,Other,2020-08-29,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_179,Best physical always small almost.,935.42,Entertainment,2020-08-30,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_180,Bed far section.,343.9,Other,2020-08-31,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_181,Car much will.,1557.81,Utilities,2020-09-01,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_183,Second full boy.,1155.84,Transport,2020-09-05,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_184,Senior difficult put.,799.34,Shopping,2020-09-06,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_185,Hand so add mr lawyer.,1188.27,Utilities,2020-09-07,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_186,Herself police he push likely.,212.78,Entertainment,2020-09-08,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_187,Trip determine as statement.,1594.49,Utilities,2020-09-11,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_188,Bring animal also you.,700.94,Food,2020-09-11,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_189,Doctor mr.,147.22,Other,2020-09-11,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_190,He we recent music.,1700.66,Food,2020-09-16,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_191,Those pressure street.,872.71,Utilities,2020-09-17,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_192,Allow have kitchen.,1417.54,Other,2020-09-17,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_193,Between rate name within.,1235.67,Transport,2020-09-18,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_194,Huge couple.,935.1,Other,2020-09-18,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_195,Begin deep police wife.,651.39,Transport,2020-09-22,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_196,During call north attention.,565.07,Utilities,2020-09-22,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_197,Only spend do.,1144.0,Other,2020-09-22,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_198,Able teach certain candidate economy.,67.11,Other,2020-09-23,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_199,Produce ago.,980.22,Utilities,2020-09-23,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_200,So draw food company.,687.27,Transport,2020-09-25,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_201,Score moment second.,1116.02,Transport,2020-09-27,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_202,Sing message board mean.,180.37,Entertainment,2020-09-27,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_203,Feeling poor all your suggest.,1114.8,Other,2020-09-27,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_204,Make travel.,1295.35,Other,2020-09-29,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_205,Focus chance.,195.18,Food,2020-09-30,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_206,Person one republican.,619.35,Entertainment,2020-10-01,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_207,Most law painting between reduce.,1111.41,Other,2020-10-03,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_208,Involve thousand including.,710.1,Other,2020-10-04,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_209,Indeed believe interview professor.,510.29,Transport,2020-10-07,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_212,News only no.,560.23,Other,2020-10-08,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_213,Improve them wait.,1961.22,Transport,2020-10-08,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_214,Why outside.,462.69,Transport,2020-10-10,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_217,Off southern suddenly.,1279.36,Utilities,2020-10-12,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_218,Participant price.,1746.71,Utilities,2020-10-14,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_219,Congress reflect.,962.64,Other,2020-10-15,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_220,Go consider century price.,512.43,Food,2020-10-16,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_221,Scientist will begin.,1646.01,Utilities,2020-10-16,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_222,Heavy law church.,1158.27,Utilities,2020-10-16,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_223,Since nothing be apply.,306.9,Utilities,2020-10-18,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_224,Anyone bank kitchen interest parent.,179.51,Transport,2020-10-19,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_225,Democratic mention generation.,1216.57,Shopping,2020-10-23,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_226,Question or money.,1553.63,Entertainment,2020-10-24,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_227,Determine worker.,601.73,Other,2020-10-26,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_228,Daughter war.,617.71,Shopping,2020-10-27,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_229,Face build market.,1895.7,Utilities,2020-10-27,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_230,Can mouth discover.,536.65,Entertainment,2020-10-27,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_232,Office of remember individual.,15.32,Utilities,2020-10-29,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_233,Again foot soon peace.,589.61,Other,2020-10-30,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_234,Join black.,1408.95,Transport,2020-10-31,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_235,Hundred bad that second develop.,1848.58,Entertainment,2020-11-01,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_236,Member box.,856.03,Entertainment,2020-11-01,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_237,Town glass road.,1817.74,Utilities,2020-11-02,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_238,Bill eight community.,128.68,Utilities,2020-11-04,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_239,Concern significant.,883.92,Transport,2020-11-06,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_240,Senior service large under.,1402.47,Transport,2020-11-07,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_241,Follow wife firm key light.,881.14,Other,2020-11-09,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_242,Option goal avoid.,1471.72,Shopping,2020-11-10,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_243,Also hard expert popular.,191.74,Food,2020-11-10,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_244,Order his oil west school.,1999.15,Food,2020-11-12,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_245,Training occur could painting.,1156.73,Transport,2020-11-12,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_246,Whatever late specific.,946.3,Utilities,2020-11-14,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_247,Mean common.,371.16,Transport,2020-11-14,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_248,Yard model particular hair.,1938.42,Other,2020-11-14,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_249,Impact full our smile.,673.28,Shopping,2020-11-14,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_250,Form newspaper.,666.31,Utilities,2020-11-15,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_251,Edge surface who.,1328.54,Transport,2020-11-15,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_252,Bank professional true financial.,915.1,Food,2020-11-16,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_253,Organization visit finally.,240.68,Other,2020-11-16,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_254,Spend prove stock school.,1318.74,Food,2020-11-17,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_255,Position interest.,117.87,Shopping,2020-11-20,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_256,Guy congress.,1254.56,Other,2020-11-22,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_257,Way main difficult case.,541.44,Entertainment,2020-11-23,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_259,Product then.,251.64,Other,2020-11-25,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_260,Heavy class story side speak.,1422.47,Entertainment,2020-11-26,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_261,Analysis hair rest wide.,1108.98,Food,2020-11-27,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_263,Question now key show.,1001.77,Utilities,2020-11-29,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_264,Month whom stage soon.,836.83,Transport,2020-12-01,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_265,Appear lose he.,495.02,Other,2020-12-05,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_266,Surface expect several evening town.,389.31,Shopping,2020-12-05,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_267,Begin treat stage this.,1729.41,Utilities,2020-12-06,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_268,Apply maybe dog yes.,686.35,Shopping,2020-12-10,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_269,Agreement us stuff.,1642.89,Transport,2020-12-10,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_270,Case expert stop.,1676.58,Transport,2020-12-11,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_271,Large accept bad eight.,1731.87,Other,2020-12-12,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_272,Vote participant institution simply down.,696.8,Other,2020-12-13,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_273,Draw police.,916.14,Shopping,2020-12-14,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_274,Book toward.,1961.74,Entertainment,2020-12-14,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_275,Place offer.,474.79,Shopping,2020-12-16,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_276,Investment pass drive.,643.17,Food,2020-12-16,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_277,Professor beat window.,778.3,Shopping,2020-12-16,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_278,Name skill medical after them.,995.7,Utilities,2020-12-18,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_280,Run pick sign.,208.43,Other,2020-12-20,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_281,And national spend.,1447.66,Food,2020-12-20,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_282,Wonder long consider care.,158.91,Utilities,2020-12-22,Original Category: Utilities,,1.0,0,kaggle_dataset
